stocknewstimes.com,0
weekherald.com,0
ledgergazette.com,0
thelincolnianonline.com,0
dispatchtribunal.com,0
registrarjournal.com,0
cointradejournal.com,0
theenterpriseleader.com,0
smartereum.com,0
bangaloreweekly.com,0
equitiesfocus.com,0
baseballnewssource.com,1
bzweekly.com,0
kldaily.com,0
btcmanager.com,5
cointelegraph.com,21
weeklyhub.com,1
themerkle.com,1
utahherald.com,0
coindesk.com,50
mareainformativa.com,0
hibusiness.ca,0
bitcoinist.com,8
kgazette.com,0
investing.com,145
weeklyregister.com,0
finnewsdaily.com,0
huronreport.com,0
flintdaily.com,0
wolcottdaily.com,0
normanobserver.com,0
santimes.com,0
newsbtc.com,4
forbes.com,500
news.bitcoin.com,5
heraldks.com,4
presstelegraph.com,3
financemagnates.com,5
inverse.com,56
express.co.uk,500
blocktribune.com,0
nasdaq.com,459
bitsonline.com,2
oracletimes.com,1
cryptocurrencynews.com,0
digitaljournal.com,328
cryptodaily.co.uk,0
benzinga.com,42
cnbc.com,500
thenextweb.com,229
cryptovest.com,1
usethebitcoin.com,0
investopedia.com,329
en.brinkwire.com,1
finder.com.au,36
fortune.com,500
sputniknews.com,445
ethereumworldnews.com,0
menafn.com,74
pymnts.com,83
valuewalk.com,20
insidebitcoins.com,4
profitconfidential.com,1
marketwatch.com,500
ethnews.com,3
coinidol.com,0
crowdfundinsider.com,40
nigeriatoday.ng,2
cryptorecorder.com,0
cryptona.co,0
cryptolerance.com,1
crypto-lines.com,0
coinspeaker.com,3
fxstreet.com,7
livebitcoinnews.com,1
uk.investing.com,0
ibtimes.com,500
ambcrypto.com,1
crypto-reporter.com,0
fool.com,147
fool.com.au,6
cryptoslate.com,0
ibtimes.co.uk,214
bobrtimes.com,0
investorideas.com,2
uk.businessinsider.com,54
seekingalpha.com,135
thestreet.com,468
moneymorning.com,0
coincentral.com,2
coinjournal.net,2
prnewswire.com,500
mashable.com,500
cnet.com,500
theusacommerce.com,0
globalcoinreport.com,1
dailytelescope.com,1
icoexaminer.com,0
paymentweek.com,6
hacked.com,22
realdaily.com,0
leaprate.com,9
bizjournals.com,500
bloomberg.com,500
newsmax.com,334
equities.com,25
foxbusiness.com,196
independent.co.uk,500
news.finance.co.uk,0
motherboard.vice.com,87
newsweek.com,500
news4c.com,0
smnweekly.com,1
businessinsider.com.au,56
theverge.com,315
stocksgazette.com,0
wccftech.com,63
themarketmogul.com,4
techrepublic.com,101
legalgamblingandthelaw.com,0
irishtechnews.ie,8
tgdaily.com,24
computerweekly.com,151
disruptordaily.com,1
businessinsider.com,500
zycrypto.com,0
time.com,500
wsj.com,500
satprnews.com,9
invezz.com,0
marketbusinessnews.com,2
coinclarity.com,0
markets.businessinsider.com,43
business.financialpost.com,118
siliconangle.com,32
metro.co.uk,500
pcgamer.com,178
slashgear.com,68
theglobeandmail.com,500
informationsecuritybuzz.com,2
financialtribune.com,47
cryptocrimson.com,0
rt.com,500
notebookcheck.net,33
arstechnica.com,449
bloombergquint.com,15
igamingbusiness.com,12
econotimes.com,1
gizmodo.com.au,40
thehill.com,500
globenewswire.com,198
investors.com,145
cbc.ca,500
hardocp.com,7
digitaltrends.com,132
telesurtv.net,94
forexlive.com,4
venturebeat.com,500
techbullion.com,1
emchat.net,0
hadeplatform.com,0
financefeeds.com,5
chipin.com,0
globalcryptopress.com,0
micetimes.asia,2
paymentssource.com,6
strategiccoin.com,0
uk.finance.yahoo.com,23
dcebrief.com,0
recode.net,74
govtech.com,66
investorplace.com,4
infosurhoy.com,18
jdsupra.com,16
slate.com,500
financialbuzz.com,1
jutiagroup.com,2
wwnytv.com,14
stl.news,4
aliveforfootball.com,0
bleepingcomputer.com,17
stockhouse.com,17
hothardware.com,26
americanbanker.com,28
techcrunch.com,500
zdnet.com,374
reurope.com,1
